st,yr,rtype,hectares,prod,type,temp,wind,rain,cloud,sun,rel_hum,ndvi
Chandpur,2016,Aus,9871.0,24569.0,0,30.020368576049805,3.2205698490142822,259.1083374023437,4.651440143585205,5.69384241104126,81.55183410644531,0.4924016666666667
Chandpur,2016,Aman,37247.0,67890.0,1,28.761083602905273,2.496199369430542,239.3300323486328,4.770069599151611,4.98225212097168,82.9966812133789,0.5230314285714285
Chandpur,2016,Boro,110467.0,436136.0,2,25.58820533752441,1.595457673072815,61.25944900512695,2.3319849967956543,6.082916259765625,77.88265991210938,0.5094257142857143
Chandpur,2017,Aus,9955.0,25483.0,0,29.711841583251953,2.630608320236206,273.9281616210937,4.643454074859619,5.422572612762451,82.61973571777344,0.49208
Chandpur,2017,Aman,43045.0,81165.0,1,28.77517127990723,2.1026642322540283,253.12652587890625,4.742006778717041,5.94618034362793,81.88245391845703,0.5350028571428572
Chandpur,2017,Boro,67733.0,245503.0,2,25.566843032836914,1.3574107885360718,64.71121215820311,2.2712321281433105,5.9260826110839835,80.89278411865234,0.514402857142857
Chandpur,2018,Aus,9774.0,26286.0,0,29.530139923095703,1.920697808265686,291.9979553222656,4.684250354766847,5.668152809143066,79.69043731689453,0.4889316666666667
Chandpur,2018,Aman,44168.0,79413.0,1,28.73930931091309,1.955085277557373,247.66546630859372,4.804280757904053,5.8508548736572275,82.49685668945312,0.5273542857142858
Chandpur,2018,Boro,61792.3,237576.3,2,25.56428146362305,1.0669662952423096,63.40188598632813,2.1744205951690674,5.835507392883301,79.33268737792969,0.49975571428571436
Chittagong,2011,Aus,45191.0,108080.0,0,28.941666666666674,6.116666666666667,382.16666666666674,4.883333333333333,6.033333333333332,80.83333333333333,0.5704033333333334
Chittagong,2011,Aman,184314.0,467750.0,1,27.892857142857146,5.7285714285714295,379.57142857142856,4.3,6.201714285714287,82.14285714285714,0.6003557142857143
Chittagong,2011,Boro,67237.0,227322.0,2,25.67142857142857,5.742857142857143,63.42857142857143,2.1142857142857143,7.644571428571429,73.71428571428571,0.5291328571428572
Chittagong,2012,Aus,43993.0,107343.0,0,29.40833333333333,6.966666666666668,472.33333333333326,4.666666666666667,6.033333333333332,83.0,0.57834
Chittagong,2012,Aman,179903.0,474410.0,1,27.87142857142857,6.428571428571429,461.8571428571428,4.414285714285716,6.201714285714287,84.42857142857143,0.5933957142857142
Chittagong,2012,Boro,67135.0,251413.0,2,25.91428571428571,6.342857142857143,59.0,2.157142857142857,7.644571428571429,75.14285714285714,0.5265585714285714
Chittagong,2013,Aus,44176.0,110759.0,0,29.241666666666664,6.866666666666666,336.5,4.566666666666666,6.033333333333332,82.5,0.5788733333333334
Chittagong,2013,Aman,178154.0,477130.0,1,28.02857142857143,5.971428571428571,246.7142857142857,4.4,6.201714285714287,82.85714285714286,0.6151728571428572
Chittagong,2013,Boro,63438.0,213771.0,2,25.507142857142853,6.6,119.14285714285714,2.157142857142857,7.644571428571429,76.28571428571429,0.5284657142857143
Chittagong,2014,Aus,43938.0,108026.0,0,29.31894302368164,0.9849602580070496,167.28042602539062,4.628441333770752,5.897402286529541,78.84326934814453,0.5774316666666667
Chittagong,2014,Aman,9427.0,23749.0,1,28.117380142211914,0.6948506236076355,196.26583862304688,4.441568851470947,6.090499877929688,83.85633087158203,0.6233614285714285
Chittagong,2014,Boro,66162.0,230000.0,2,25.577693939208984,1.3983581066131592,67.44926452636719,2.0571115016937256,7.09268045425415,72.47728729248047,0.5349857142857142
Chittagong,2015,Aus,31148.0,77092.0,0,29.29086685180664,0.8861829042434692,167.84695434570312,4.607923984527588,5.853618144989014,78.7643814086914,0.5910833333333333
Chittagong,2015,Aman,9670.0,23766.0,1,28.192087173461914,0.7594847083091736,188.0549774169922,4.4360551834106445,6.027626037597656,83.91778564453125,0.6177128571428571
Chittagong,2015,Boro,64995.0,222501.0,2,25.570781707763672,1.1186702251434326,63.91278457641602,2.1180284023284908,7.4060750007629395,74.50211334228516,0.5648414285714286
Chittagong,2016,Aus,31805.0,84071.0,0,29.425336837768555,0.7951426506042479,177.6158447265625,4.549012660980225,5.798895835876465,79.64423370361328,0.5976416666666665
Chittagong,2016,Aman,170728.0,475889.0,1,28.26223182678223,0.637709379196167,191.5346984863281,4.438539028167725,5.965076446533202,83.41880798339844,0.6324342857142857
Chittagong,2016,Boro,61535.0,187680.0,2,25.565128326416016,0.8727814555168152,60.84635543823242,2.0490036010742188,6.898531913757324,76.36832427978516,0.57345
Chittagong,2017,Aus,35528.0,92506.0,0,29.4696044921875,0.9412143230438232,175.34324645996094,4.547492504119873,5.815997123718263,78.18541717529297,0.5848983333333333
Chittagong,2017,Aman,175475.0,449527.0,1,28.31046485900879,0.8261623382568359,206.9077453613281,4.450178623199463,6.071921825408936,83.1005630493164,0.6295114285714286
Chittagong,2017,Boro,61651.0,206040.0,2,25.565141677856445,0.9636147022247314,64.72396087646484,2.08964204788208,7.444125652313232,72.4949722290039,0.5846585714285714
Chittagong,2018,Aus,36058.0,97581.0,0,29.521514892578125,1.0170772075653076,195.15689086914062,4.470355033874512,5.758585453033447,80.24002838134766,0.6028166666666667
Chittagong,2018,Aman,169719.0,435740.0,1,28.34916114807129,0.8499397039413452,208.798828125,4.453545093536377,5.966021060943604,83.74152374267578,0.6516428571428571
Chittagong,2018,Boro,61882.9,244972.0,2,25.565187454223636,0.8850444555282593,63.44153213500977,2.0463309288024902,6.619936943054199,73.86968994140625,0.5588242857142857
Chuadanga,2011,Aus,14327.0,37880.0,0,30.53333333333333,2.1333333333333333,227.0,4.266666666666667,6.1000000000000005,80.0,0.5248083333333333
Chuadanga,2011,Aman,43455.0,122987.0,1,28.65,1.5285714285714287,191.7142857142857,3.5857142857142854,5.285714285714286,85.14285714285714,0.5335628571428571
Chuadanga,2011,Boro,40264.0,154396.0,2,25.114285714285717,1.7571428571428571,40.142857142857146,1.7428571428571429,6.7285714285714295,76.85714285714286,0.5126142857142857
Chuadanga,2012,Aus,14641.0,34671.0,0,31.825,2.2500000000000004,119.66666666666669,3.6833333333333336,5.866666666666666,76.33333333333333,0.529635
Chuadanga,2012,Aman,43485.0,119763.0,1,28.514285714285712,1.8,140.42857142857142,3.8285714285714287,5.128571428571427,84.28571428571429,0.5723971428571428
Chuadanga,2012,Boro,39200.0,149013.0,2,25.814285714285717,2.0571428571428574,34.714285714285715,1.7,6.928571428571429,74.57142857142857,0.4981714285714286
Chuadanga,2013,Aus,21486.0,57826.0,0,31.0,2.25,136.66666666666666,4.216666666666667,5.8500000000000005,78.5,0.5683583333333333
Chuadanga,2013,Aman,39193.0,108973.0,1,28.285714285714285,1.8714285714285712,122.42857142857143,3.728571428571428,5.271428571428571,85.57142857142857,0.5782314285714286
