st,yr,lat,long,rain,rel_hum,cloud,avg_sun,temp
Tangail,2013,24.15,89.55,98.5,78.58333333333333,3.308333333333333,5.516666666666667,27.5625
Sandwip,2013,22.5,91.46,265.25,81.66666666666667,3.475,6.091666666666666,27.570833333333336
Faridpur,2013,23.61,89.84,136.58333333333334,78.5,3.1749999999999994,5.899999999999999,27.85833333333333
Satkhira,2013,22.68,89.07,138.5,79.0,3.1333333333333337,5.949999999999998,27.841666666666665
Dhaka,2013,23.78,90.39,132.5,71.25,3.733333333333333,5.1,28.183333333333334
Sitakunda,2013,22.64,91.64,216.5,81.58333333333333,3.15,6.583333333333335,27.47916666666667
Cox's Bazar,2013,21.46,91.98,338.25,79.16666666666667,3.75,6.208333333333332,28.016666666666666
Comilla,2013,23.48,91.19,136.91666666666666,80.16666666666667,3.516666666666667,6.416666666666668,27.454166666666666
Chuadanga,2013,23.65,88.81667,97.08333333333331,80.41666666666667,3.125,5.900000000000001,27.6
Srimangal,2013,24.29,91.73,196.0,80.16666666666667,3.633333333333333,5.900000000000001,26.77916666666667
Chittagong (IAP-Patenga),2013,22.34,91.79,213.41666666666663,79.83333333333333,3.5666666666666664,6.742666666666668,27.28333333333333
Syedpur,2013,25.75,88.916667,143.5,78.58333333333333,3.2416666666666667,5.933333333333334,27.23333333333333
Chittagong (City-Ambagan),2013,22.35,91.8166,198.25,77.33333333333333,3.6916666666666655,6.411130628,27.87083333333333
Chandpur,2013,23.26,90.67,212.08333333333331,80.08333333333333,3.933333333333333,5.175000000000002,27.92083333333333
Bogra,2013,24.88,89.36,101.58333333333331,76.91666666666667,3.516666666666667,5.316666666666666,27.85833333333333
Sylhet,2013,24.88,91.93,318.75,76.25,4.383333333333334,5.791666666666668,27.81666666666667
Feni,2013,23.01,91.37,207.33333333333331,81.08333333333333,3.891666666666667,5.766666666666667,27.387500000000006
Teknaf,2013,20.87,92.26,348.83333333333326,79.41666666666667,3.433333333333333,6.491666666666667,27.23333333333333
Barisal,2014,22.7,90.36,183.34323120117188,81.41220092773438,3.664628267288208,6.112654209136963,27.853778839111328
Dinajpur,2014,25.63,88.66,161.83963012695312,76.65144348144531,3.3661310672760014,6.0513648986816415,27.170833587646484
Bhola,2014,22.7,90.66,185.61895751953125,81.41474914550781,3.4456462860107417,5.686509609222412,27.79993438720703
Patuakhali,2014,22.36,90.34,178.87196350097656,81.88306427001953,3.5755865573883057,6.1442503929138175,28.13665580749512
Mymensingh,2014,24.75,90.41,165.72967529296875,79.83719635009766,3.746634721755981,5.2620882987976065,27.50630760192871
Mongla,2014,22.43,89.66,156.13528442382812,79.36168670654297,3.4520604610443115,6.186047077178955,28.33555603027344
Rajshahi,2014,24.35,88.56,156.6903839111328,77.2891616821289,3.247929096221924,6.2017340660095215,27.85305976867676
Maijdee Court,2014,22.83,91.08,202.54965209960938,79.75760650634766,3.7894906997680655,5.676374912261963,28.123802185058594
Madaripur,2014,23.17,90.18,186.00694274902344,80.23661804199219,3.2419023513793945,6.0487799644470215,27.76264190673828
Kutubdia,2014,21.83,91.84,261.8260498046875,82.7768783569336,3.6329834461212163,6.424367904663086,27.461069107055664
Rangamati,2014,22.67,92.2,198.09396362304688,78.5710678100586,3.594389677047729,6.423666477203369,27.70141220092773
Khulna,2014,22.8,89.58,178.91058349609375,80.65171813964844,3.454901218414306,6.139500141143799,28.27315330505371
Khepupara,2014,21.98,90.22,240.71690368652344,79.71340942382812,3.4675884246826167,6.226864814758301,28.09817886352539
Jessore,2014,23.17,89.22,158.2797088623047,77.411376953125,3.0366313457489014,5.280966281890869,28.011823654174805
Rangpur,2014,25.72,89.26,165.8944854736328,77.38534545898438,3.6884400844573975,6.048846244812013,27.084096908569336
Ishurdi,2014,24.12,89.04,176.65333557128906,77.90145874023438,3.377684593200684,6.21845293045044,27.684925079345703
Hatiya,2014,22.29,91.13,255.6928558349609,81.94709014892578,3.6813600063323975,6.0204529762268075,27.67125701904297
Tangail,2014,24.15,89.55,152.5815887451172,77.95890808105469,3.3627636432647705,5.805277824401856,27.71620750427246
Sandwip,2014,22.5,91.46,259.79940795898443,81.0147933959961,3.552579641342163,6.150835037231445,27.863239288330078
Faridpur,2014,23.61,89.84,164.1038818359375,77.80433654785156,3.2122719287872314,6.066815376281737,28.00454139709473
Satkhira,2014,22.68,89.07,152.5257110595703,78.1915512084961,3.2296810150146484,6.126891613006593,28.02279281616211
Dhaka,2014,23.78,90.39,165.65867614746094,72.5293197631836,3.645721435546875,5.253162384033203,28.26492118835449
Sitakunda,2014,22.64,91.64,226.77532958984372,81.00565338134766,3.337827205657959,6.547158241271973,27.808507919311523
Cox's Bazar,2014,21.46,91.98,275.76220703125,78.91839599609375,3.654216766357422,6.35099458694458,28.185420989990234
Comilla,2014,23.48,91.19,172.80177307128906,79.62731170654297,3.5692539215087886,6.460136413574219,27.63222312927246
Chuadanga,2014,23.65,88.81667,159.4325714111328,78.85493469238281,3.1698822975158687,6.029451847076416,27.79891395568848
Srimangal,2014,24.29,91.73,190.06832885742188,79.32994079589844,3.6849498748779297,5.86464786529541,27.094572067260746
Chittagong (IAP-Patenga),2014,22.34,91.79,233.79283142089844,79.54383087158203,3.6002514362335205,6.696860313415527,27.58669090270996
Syedpur,2014,25.75,88.916667,156.01498413085938,77.27762603759766,3.21785569190979,5.868329048156737,27.26275062561035
Chittagong (City-Ambagan),2014,22.35,91.8166,225.4421539306641,78.24908447265625,3.703853130340576,6.407780170440674,28.11492919921875
Chandpur,2014,23.26,90.67,171.3100128173828,79.35210418701172,3.8607714176177983,5.460458278656006,28.12383270263672
Bogra,2014,24.88,89.36,168.72402954101562,76.03511047363281,3.4802370071411133,5.434487819671631,27.872398376464844
Sylhet,2014,24.88,91.93,397.48931884765625,76.68092346191406,4.355199337005615,5.7794623374938965,27.989702224731445
Feni,2014,23.01,91.37,196.2400360107422,80.57829284667969,3.786992073059082,5.930219650268555,27.61581039428711
Teknaf,2014,20.87,92.26,325.12359619140625,79.21269989013672,3.50868558883667,6.709962844848633,27.60231590270996
Barisal,2015,22.7,90.36,183.2017364501953,80.72718048095703,3.6288950443267822,6.172935485839844,27.939321517944336
Dinajpur,2015,25.63,88.66,164.27955627441406,76.21450805664062,3.412513256072998,6.055453300476074,27.24535179138184
Bhola,2015,22.7,90.66,183.51583862304688,80.72213745117188,3.4880404472351074,5.650521278381348,27.931684494018555
Patuakhali,2015,22.36,90.34,194.42779541015625,81.05055236816406,3.611485719680786,6.1598753929138175,28.198110580444336
Mymensingh,2015,24.75,90.41,177.37762451171875,79.16426086425781,3.675915956497192,5.229541778564453,27.66896629333496
Mongla,2015,22.43,89.66,158.1556396484375,78.99539184570312,3.497700929641724,6.163712024688722,28.31004905700684
Rajshahi,2015,24.35,88.56,162.13873291015625,76.96209716796875,3.2460939884185787,6.205348491668701,27.81121826171875
Maijdee Court,2015,22.83,91.08,200.1304473876953,79.29219818115234,3.784471035003662,5.72682523727417,28.23527526855469
Madaripur,2015,23.17,90.18,183.4796905517578,79.6766357421875,3.3150238990783687,6.097959995269775,27.86977577209473
Kutubdia,2015,21.83,91.84,254.23789978027344,82.14273071289062,3.627256870269776,6.392416954040527,27.59012031555176
Rangamati,2015,22.67,92.2,202.85202026367188,78.43608093261719,3.595808506011963,6.42933988571167,27.85348701477051
Khulna,2015,22.8,89.58,171.4946746826172,79.91790008544922,3.5145778656005864,6.109341621398926,28.245256423950195
Khepupara,2015,21.98,90.22,229.60809326171875,79.32122802734375,3.5278911590576167,6.249372482299805,28.13089942932129
Jessore,2015,23.17,89.22,162.46128845214844,77.15133666992188,3.1607837677001958,5.332635879516602,28.00641441345215
Rangpur,2015,25.72,89.26,169.47727966308594,76.81230163574219,3.59120774269104,6.0518083572387695,27.215465545654297
Ishurdi,2015,24.12,89.04,187.99610900878903,77.48595428466797,3.4125337600708012,6.2144951820373535,27.712459564208984
Hatiya,2015,22.29,91.13,247.35606384277344,81.25409698486328,3.6722493171691895,6.090989112854004,27.81313514709473
Tangail,2015,24.15,89.55,165.20962524414062,77.4990005493164,3.3726959228515625,5.776450157165527,27.801523208618164
Sandwip,2015,22.5,91.46,246.1893615722656,80.54105377197266,3.5599248409271236,6.158055305480957,27.97242546081543
Faridpur,2015,23.61,89.84,182.14816284179688,77.53781127929688,3.305797576904297,6.05215311050415,28.06523704528809
Satkhira,2015,22.68,89.07,154.42530822753906,77.96480560302734,3.292215585708618,6.104980945587157,28.017902374267575
Dhaka,2015,23.78,90.39,187.1027984619141,73.23118591308594,3.6300640106201167,5.269189834594727,28.299243927001953
Sitakunda,2015,22.64,91.64,196.2465057373047,80.52596282958984,3.3941435813903813,6.540300369262695,27.91830825805664
Cox's Bazar,2015,21.46,91.98,260.28890991210943,78.8428955078125,3.69687557220459,6.3601274490356445,28.30534553527832
Comilla,2015,23.48,91.19,195.4831695556641,79.21028900146484,3.5608196258544917,6.438089847564697,27.79466438293457
Chuadanga,2015,23.65,88.81667,164.5711669921875,78.42872619628906,3.24758529663086,6.037137985229492,27.801982879638672
Srimangal,2015,24.29,91.73,199.28445434570312,78.96295928955078,3.641753435134888,5.936436653137207,27.294981002807614
