st,yr,mn,max_temp,min_temp,rain,rel_hum,wind,cloud,sun
Hatiya,2013,7,32.4,25.7,544.0,88.0,3.2,6.3,4.5
Hatiya,2013,8,34.4,25.3,677.0,91.0,2.4,6.5,3.6
Hatiya,2013,9,36.0,25.5,435.0,89.0,1.6,5.7,4.6
Hatiya,2013,10,34.5,24.3,292.0,88.0,1.7,5.1,5.1
Hatiya,2013,11,32.2,19.0,0.0,82.0,1.1,1.5,8.4
Hatiya,2013,12,30.0,14.9,0.0,83.0,1.2,1.1,6.5
Ishurdi,2013,1,27.0,8.6,1.0,82.0,2.0,0.6,5.2
Ishurdi,2013,2,31.6,13.1,14.0,75.0,2.2,1.4,8.0
Ishurdi,2013,3,37.2,18.3,0.0,63.0,1.9,1.1,8.0
Ishurdi,2013,4,40.0,23.1,69.0,63.0,2.2,3.1,7.5
Ishurdi,2013,5,38.0,24.9,182.0,82.0,2.7,6.2,3.8
Ishurdi,2013,6,36.8,26.7,264.0,83.0,1.9,5.9,5.8
Ishurdi,2013,7,35.5,26.8,130.0,83.0,2.4,5.4,6.3
Ishurdi,2013,8,36.2,26.2,218.0,86.0,2.1,6.2,4.4
Ishurdi,2013,9,35.6,26.0,121.0,85.0,2.0,5.4,5.7
Ishurdi,2013,10,34.2,23.6,130.0,86.0,2.1,4.6,5.1
Ishurdi,2013,11,32.0,15.6,0.0,78.0,2.3,0.9,8.4
Ishurdi,2013,12,29.4,12.2,0.0,81.0,2.1,0.5,5.2
Jessore,2013,1,29.2,9.3,6.0,77.0,3.7,0.3,4.7
Jessore,2013,2,33.2,13.6,15.0,71.0,5.2,1.2,6.8
Jessore,2013,3,37.8,19.6,8.0,66.0,5.9,1.2,6.9
Jessore,2013,4,39.2,23.6,63.0,67.0,6.8,2.4,6.9
Jessore,2013,5,37.6,25.3,278.0,80.0,11.2,5.2,7.4
Jessore,2013,6,36.4,26.5,203.0,81.0,5.9,4.4,3.8
Jessore,2013,7,35.4,26.5,249.0,83.0,7.4,5.3,4.3
Jessore,2013,8,36.2,26.0,309.0,85.0,6.8,5.4,3.2
Jessore,2013,9,35.8,25.9,322.0,85.0,5.5,4.6,3.6
Jessore,2013,10,35.0,23.9,223.0,85.0,4.1,4.3,3.7
Jessore,2013,11,32.8,16.1,0.0,76.0,3.4,0.4,7.0
Jessore,2013,12,29.8,13.1,0.0,78.0,3.1,0.6,4.5
Khepupara,2013,1,30.5,12.0,0.0,72.0,2.7,0.3,7.3
Khepupara,2013,2,33.7,15.5,1.0,66.0,3.6,1.4,7.7
Khepupara,2013,3,35.8,21.2,0.0,73.0,3.9,1.2,8.6
Khepupara,2013,4,35.6,25.2,0.0,77.0,0.0,3.3,8.2
Khepupara,2013,5,36.2,25.0,727.0,85.0,6.6,6.7,3.3
Khepupara,2013,6,35.4,26.4,395.0,85.0,4.4,5.5,5.0
Khepupara,2013,7,33.5,26.2,640.0,87.0,4.7,5.9,5.5
Khepupara,2013,8,34.0,26.0,403.0,87.0,3.9,5.8,4.2
Khepupara,2013,9,35.0,25.8,536.0,88.0,2.6,5.4,4.6
Khepupara,2013,10,34.5,24.3,418.0,88.0,2.9,4.8,4.6
